Date,Unemployment benefits
2004-01-01,74
2004-02-01,55
2004-03-01,60
2004-04-01,63
2004-05-01,70
2004-06-01,64
2004-07-01,84
2004-08-01,59
2004-09-01,72
2004-10-01,56
2004-11-01,55
2004-12-01,48
2005-01-01,77
2005-02-01,58
2005-03-01,53
2005-04-01,58
2005-05-01,56
2005-06-01,65
2005-07-01,62
2005-08-01,50
2005-09-01,60
2005-10-01,62
2005-11-01,58
2005-12-01,52
2006-01-01,58
2006-02-01,46
2006-03-01,55
2006-04-01,52
2006-05-01,57
2006-06-01,57
2006-07-01,58
2006-08-01,58
2006-09-01,61
2006-10-01,53
2006-11-01,43
2006-12-01,54
2007-01-01,64
2007-02-01,56
2007-03-01,51
2007-04-01,49
2007-05-01,50
2007-06-01,56
2007-07-01,47
2007-08-01,52
2007-09-01,50
2007-10-01,52
2007-11-01,45
2007-12-01,39
2008-01-01,50
2008-02-01,51
2008-03-01,50
2008-04-01,53
2008-05-01,50
2008-06-01,57
2008-07-01,68
2008-08-01,58
2008-09-01,70
2008-10-01,78
2008-11-01,81
2008-12-01,73
2009-01-01,100
2009-02-01,81
2009-03-01,87
2009-04-01,76
2009-05-01,83
2009-06-01,88
2009-07-01,85
2009-08-01,72
2009-09-01,81
2009-10-01,64
2009-11-01,60
2009-12-01,62
2010-01-01,69
2010-02-01,73
2010-03-01,67
2010-04-01,61
2010-05-01,66
2010-06-01,75
2010-07-01,76
2010-08-01,68
2010-09-01,68
2010-10-01,61
2010-11-01,57
2010-12-01,54
2011-01-01,65
2011-02-01,57
2011-03-01,55
2011-04-01,51
2011-05-01,54
2011-06-01,60
2011-07-01,60
2011-08-01,60
2011-09-01,67
2011-10-01,63
2011-11-01,63
2011-12-01,50
2012-01-01,67
2012-02-01,60
2012-03-01,49
2012-04-01,50
2012-05-01,55
2012-06-01,60
2012-07-01,56
2012-08-01,60
2012-09-01,59
2012-10-01,54
2012-11-01,50
2012-12-01,42
2013-01-01,59
2013-02-01,52
2013-03-01,54
2013-04-01,51
2013-05-01,48
2013-06-01,52
2013-07-01,51
2013-08-01,46
2013-09-01,51
2013-10-01,47
2013-11-01,45
2013-12-01,40
2014-01-01,54
2014-02-01,46
2014-03-01,44
2014-04-01,42
2014-05-01,40
2014-06-01,48
2014-07-01,50
2014-08-01,44
2014-09-01,50
2014-10-01,43
2014-11-01,43
2014-12-01,39
2015-01-01,48
2015-02-01,48
2015-03-01,45
2015-04-01,41
2015-05-01,44
2015-06-01,48
2015-07-01,47
2015-08-01,39
2015-09-01,42
2015-10-01,42
2015-11-01,41
2015-12-01,36
2016-01-01,43
2016-02-01,44
2016-03-01,40
2016-04-01,40
2016-05-01,39
2016-06-01,42
2016-07-01,37
2016-08-01,35
2016-09-01,41
2016-10-01,36
2016-11-01,21
2016-12-01,16
2017-01-01,24
2017-02-01,25
2017-03-01,28
2017-04-01,23
2017-05-01,30
2017-06-01,30
2017-07-01,24
2017-08-01,24
2017-09-01,25
2017-10-01,25
2017-11-01,19
2017-12-01,18
2018-01-01,23
2018-02-01,23
2018-03-01,18
2018-04-01,17
2018-05-01,16
2018-06-01,16
2018-07-01,16
2018-08-01,16
2018-09-01,17
2018-10-01,18
2018-11-01,19
2018-12-01,16
2019-01-01,21
2019-02-01,20
2019-03-01,19
2019-04-01,18
2019-05-01,18
2019-06-01,20
2019-07-01,20
2019-08-01,17
2019-09-01,20
2019-10-01,20
2019-11-01,21
2019-12-01,20
2020-01-01,23
2020-02-01,25
2020-03-01,90
2020-04-01,57
2020-05-01,59
2020-06-01,54
2020-07-01,57
2020-08-01,51
2020-09-01,54
2020-10-01,49
2020-11-01,41
2020-12-01,34
2021-01-01,37
2021-02-01,35
2021-03-01,39
2021-04-01,33
2021-05-01,31
2021-06-01,29
2021-07-01,28
2021-08-01,28
2021-09-01,32
2021-10-01,30
2021-11-01,29
2021-12-01,23
2022-01-01,32
2022-02-01,32
2022-03-01,32
2022-04-01,28
2022-05-01,25
2022-06-01,28
2022-07-01,29
2022-08-01,29
2022-09-01,29
2022-10-01,28
2022-11-01,29
2022-12-01,20
2023-01-01,29
2023-02-01,26
2023-03-01,26
2023-04-01,23
2023-05-01,23
2023-06-01,22
2023-07-01,24
2023-08-01,24
2023-09-01,26
2023-10-01,25
2023-11-01,28
2023-12-01,20
2024-01-01,28
2024-02-01,27
2024-03-01,29
2024-04-01,28
2024-05-01,22
2024-06-01,22
2024-07-01,23
2024-08-01,27
2024-09-01,29
2024-10-01,28
2024-11-01,27
2024-12-01,22
2025-01-01,31
2025-02-01,30
2025-03-01,35
2025-04-01,33
